楷飞喊,2016,2017,2018,2019,2020
0 … 4技,130380 ,121874 ,115371 ,107557 ,96320 
5 … 9技,139130 ,138051 ,135930 ,134843 ,132314 
10…14技,134173 ,135041 ,133618 ,132842 ,134503 
15…19技,177320 ,166522 ,158706 ,150409 ,139659 
20…24技,210927 ,205824 ,199457 ,192590 ,185905 
25…29技,195695 ,203987 ,210337 ,215018 ,215641 
30…34技,209170 ,196438 ,189376 ,187684 ,185893 
35…39技,240973 ,243227 ,244293 ,233505 ,220253 
40…44技,245705 ,238671 ,229271 ,228917 ,230810 
45…49技,266469 ,267913 ,265452 ,261044 ,253167 
50…54技,254636 ,250231 ,255057 ,256818 ,256870 
55…59技,247951 ,256870 ,259172 ,259776 ,255297 
60…64技,166285 ,178869 ,195927 ,211475 ,224713 
65…69技,108013 ,114703 ,119105 ,127795 ,143166 
70…74技,83667 ,86334 ,91638 ,97219 ,102525 
75…79技,63942 ,70435 ,72754 ,73919 ,74978 
80技捞惑 棺 楷飞固惑,68633 ,73552 ,79178 ,85615 ,90814 
钦拌,2943069 ,2948542 ,2954642 ,2957026 ,2942828 
